policyholder_id,age,policy_age_group,gender,marital_status,employment_status,region,monthly_income_usd,dependents_count,plan_type,payment_frequency,acquisition_channel,tenure_months,monthly_premium_usd,billing_amount_usd,premium_to_income_ratio,payment_delay_days_avg,missed_payments_last_12m,late_payments_last_12m,customer_service_calls_last_6m,complaints_last_12m,policy_changes_last_12m,claims_last_24m,mobile_app_usage_score,sms_engagement_rate,retention_offer_received,churn_probability_proxy,churn
PH101241,39,36-45,Female,Married,Formally Employed,Masvingo,132.35,1,Basic,Monthly,Branch,14,7.94,7.94,0.06,28,1,4,3,0,3,0,71,0.761,0,0.065,0
PH101242,34,26-35,Female,Married,Formally Employed,Harare,356.31,3,Family,Monthly,Agent,29,23.96,23.96,0.0672,3,1,1,0,0,0,0,100,0.657,0,0.022,0
PH101243,29,26-35,Female,Single,Informal Trader,Mashonaland West,125.34,3,Basic,Monthly,Mobile App,71,5.0,5.0,0.0399,2,1,4,0,0,1,0,47,0.567,0,0.042,0
PH101244,33,26-35,Female,Widowed,Self Employed,Matabeleland South,352.46,3,Premium,Monthly,Branch,13,16.99,16.99,0.0482,2,0,2,0,0,0,0,73,0.361,0,0.09,1
PH101245,26,26-35,Male,Divorced,Self Employed,Harare,224.04,1,Premium,Monthly,Agent,47,17.71,17.71,0.079,6,0,2,3,0,1,0,27,0.567,0,0.075,0
PH101246,41,36-45,Male,Married,Formally Employed,Matabeleland South,512.08,3,Premium,Monthly,Branch,30,18.83,18.83,0.0368,7,0,3,2,1,0,1,56,0.164,0,0.143,0
PH101247,32,26-35,Male,Widowed,Informal Trader,Mashonaland East,392.59,1,Family,Monthly,Branch,62,24.13,24.13,0.0615,1,0,3,3,0,0,0,75,0.223,1,0.047,0
PH101248,44,36-45,Female,Single,Self Employed,Manicaland,325.65,3,Standard,Monthly,Mobile App,19,11.87,11.87,0.0365,29,2,4,1,2,0,0,60,0.259,0,0.133,0
PH101249,22,18-25,Female,Single,Formally Employed,Matabeleland North,499.0,2,Premium,Monthly,Mobile App,21,17.87,17.87,0.0358,11,0,1,1,0,1,0,66,0.861,0,0.031,0
PH101250,45,36-45,Male,Single,Informal Trader,Masvingo,193.22,3,Basic,Monthly,Branch,31,5.0,5.0,0.0259,17,1,0,0,0,0,0,93,0.747,0,0.039,0
PH101251,51,46-60,Female,Married,Informal Trader,Midlands,237.61,3,Standard,Quarterly,Agent,14,14.97,41.92,0.063,19,2,7,1,1,2,0,100,0.526,0,0.163,0
PH101252,18,18-25,Female,Divorced,Self Employed,Matabeleland South,611.33,2,Standard,Biannual,Agent,30,12.39,66.91,0.0203,21,0,4,2,0,0,0,67,0.408,0,0.068,0
PH101253,45,36-45,Male,Married,Informal Trader,Mashonaland West,64.57,2,Basic,Quarterly,Branch,30,7.39,20.69,0.1144,16,2,2,2,0,0,0,88,0.445,0,0.098,0
PH101254,56,46-60,Male,Widowed,Formally Employed,Bulawayo,328.63,3,Family,Biannual,Agent,51,25.46,137.48,0.0775,7,1,1,1,1,1,0,92,0.855,1,0.012,0
PH101255,26,26-35,Female,Married,Unemployed,Manicaland,126.34,2,Premium,Quarterly,Agent,29,19.3,54.04,0.1528,8,1,4,1,0,0,0,100,0.535,1,0.038,0
PH101256,61,60+,Female,Married,Formally Employed,Manicaland,419.95,1,Basic,Monthly,Agent,6,12.39,12.39,0.0295,18,3,7,0,1,0,0,41,0.812,0,0.286,0
PH101257,46,46-60,Female,Married,Formally Employed,Mashonaland East,382.48,1,Basic,Monthly,Agent,38,7.46,7.46,0.0195,20,3,6,2,1,0,1,0,0.474,0,0.277,0
PH101258,33,26-35,Male,Single,Unemployed,Midlands,49.2,5,Basic,Monthly,Branch,14,5.26,5.26,0.1069,0,1,0,0,2,0,0,72,0.311,0,0.223,0
PH101259,40,36-45,Female,Single,Informal Trader,Masvingo,301.9,3,Standard,Monthly,Branch,72,10.24,10.24,0.0339,23,3,7,0,0,1,0,87,0.43,0,0.145,0
PH101260,48,46-60,Male,Married,Formally Employed,Manicaland,431.82,1,Family,Monthly,Website,21,25.45,25.45,0.0589,34,3,8,0,0,0,0,57,0.29,0,0.189,0
PH101261,42,36-45,Male,Married,Formally Employed,Midlands,565.73,1,Standard,Annual,Agent,34,15.2,152.0,0.0269,3,1,0,2,1,0,0,61,0.467,0,0.076,0
PH101262,47,46-60,Female,Married,Unemployed,Mashonaland East,182.35,1,Basic,Annual,Agent,11,8.95,89.5,0.0491,8,0,5,3,0,0,0,73,0.665,0,0.151,0
PH101263,30,26-35,Male,Married,Unemployed,Matabeleland North,117.48,0,Basic,Monthly,Mobile App,40,5.65,5.65,0.0481,20,2,2,2,0,0,0,45,0.446,0,0.272,0
PH101264,43,36-45,Female,Single,Self Employed,Midlands,605.37,1,Basic,Monthly,Referral,13,5.0,5.0,0.0083,0,3,2,4,0,0,0,24,0.922,1,0.054,0
PH101265,24,18-25,Male,Married,Informal Trader,Midlands,375.45,5,Standard,Monthly,Referral,50,13.01,13.01,0.0347,13,1,6,5,0,0,0,7,0.581,1,0.132,1
PH101266,40,36-45,Female,Married,Formally Employed,Matabeleland South,371.44,2,Basic,Quarterly,Branch,37,8.37,23.44,0.0225,12,1,1,3,0,0,0,14,0.795,1,0.044,0
PH101267,30,26-35,Female,Married,Self Employed,Matabeleland North,628.97,0,Basic,Monthly,Mobile App,22,8.15,8.15,0.013,0,2,3,2,1,0,0,48,0.601,0,0.072,0
PH101268,32,26-35,Male,Widowed,Formally Employed,Harare,568.09,0,Basic,Monthly,Branch,14,8.25,8.25,0.0145,0,1,3,3,0,0,0,56,0.729,1,0.095,0
PH101269,56,46-60,Female,Married,Self Employed,Midlands,597.26,3,Standard,Quarterly,Branch,44,13.27,37.16,0.0222,31,2,6,0,0,0,2,45,0.835,0,0.127,0
PH101270,54,46-60,Male,Married,Formally Employed,Manicaland,120.84,0,Standard,Monthly,Branch,17,12.26,12.26,0.1015,13,2,1,1,0,0,0,22,0.309,0,0.077,0
PH101271,48,46-60,Female,Widowed,Self Employed,Mashonaland East,493.97,2,Family,Monthly,Agent,51,28.88,28.88,0.0585,11,1,3,1,1,1,1,47,0.828,0,0.072,1
PH101272,28,26-35,Male,Widowed,Self Employed,Masvingo,432.98,1,Premium,Monthly,Agent,122,17.18,17.18,0.0397,26,3,3,1,1,0,0,47,0.132,0,0.084,0
PH101273,37,36-45,Male,Widowed,Self Employed,Mashonaland West,241.12,2,Standard,Annual,Mobile App,15,11.77,117.7,0.0488,26,2,6,2,1,0,0,78,0.417,0,0.228,0
PH101274,56,46-60,Male,Single,Formally Employed,Matabeleland North,180.25,2,Basic,Biannual,Referral,42,6.79,36.67,0.0377,0,0,4,3,1,0,0,63,0.391,0,0.055,0
PH101275,43,36-45,Male,Single,Self Employed,Bulawayo,354.42,1,Basic,Monthly,Agent,82,7.29,7.29,0.0206,3,2,5,0,0,0,0,52,0.538,0,0.063,0
PH101276,69,60+,Female,Single,Unemployed,Mashonaland West,123.0,2,Standard,Monthly,Mobile App,72,13.47,13.47,0.1095,6,0,4,1,0,0,0,55,0.66,0,0.047,0
PH101277,46,46-60,Male,Single,Self Employed,Mashonaland West,280.0,1,Basic,Monthly,Branch,4,10.87,10.87,0.0388,14,4,0,0,0,1,1,27,0.731,0,0.112,0
PH101278,43,36-45,Male,Divorced,Informal Trader,Manicaland,159.98,4,Standard,Quarterly,Agent,22,11.47,32.12,0.0717,0,0,0,1,0,1,0,62,0.362,0,0.089,0
PH101279,37,36-45,Male,Married,Self Employed,Mashonaland West,286.64,3,Basic,Monthly,Branch,38,5.39,5.39,0.0188,32,0,3,3,1,0,0,77,0.607,0,0.106,1
PH101280,43,36-45,Male,Single,Self Employed,Mashonaland East,265.52,0,Basic,Monthly,Referral,22,5.0,5.0,0.0188,0,0,1,2,0,1,0,59,0.592,1,0.033,0
PH101281,39,36-45,Female,Single,Informal Trader,Mashonaland West,361.72,3,Basic,Monthly,Agent,41,5.91,5.91,0.0163,0,1,3,6,0,2,0,35,0.595,0,0.118,0
PH101282,49,46-60,Female,Single,Farmer,Matabeleland South,139.67,2,Premium,Monthly,Mobile App,32,21.12,21.12,0.1512,3,0,2,1,1,0,0,76,0.615,0,0.108,0
PH101283,52,46-60,Male,Married,Formally Employed,Midlands,153.88,3,Basic,Monthly,Agent,49,8.25,8.25,0.0536,10,2,2,4,2,0,0,70,0.39,0,0.096,0
PH101284,32,26-35,Female,Married,Formally Employed,Harare,591.44,4,Basic,Monthly,Website,31,8.55,8.55,0.0145,34,3,2,5,1,0,0,76,0.594,0,0.282,0
PH101285,25,18-25,Female,Widowed,Informal Trader,Manicaland,359.7,3,Basic,Monthly,Mobile App,49,5.0,5.0,0.0139,12,3,5,4,0,0,0,59,0.578,0,0.153,0
PH101286,19,18-25,Male,Divorced,Farmer,Matabeleland South,207.96,1,Premium,Annual,Mobile App,48,18.92,189.2,0.091,12,1,4,2,0,0,0,70,0.917,0,0.037,0
PH101287,47,46-60,Female,Single,Farmer,Mashonaland East,107.23,1,Premium,Monthly,Referral,27,19.47,19.47,0.1816,18,2,4,2,0,0,0,56,0.866,0,0.077,0
PH101288,28,26-35,Female,Married,Self Employed,Mashonaland East,50.33,1,Basic,Monthly,Agent,21,7.87,7.87,0.1564,9,2,2,0,1,0,0,64,0.348,0,0.139,0
PH101289,18,18-25,Female,Single,Self Employed,Masvingo,385.92,1,Premium,Quarterly,Agent,28,17.01,47.63,0.0441,6,2,3,0,1,0,0,46,0.591,1,0.077,0
PH101290,46,46-60,Female,Married,Informal Trader,Manicaland,311.52,0,Standard,Monthly,Branch,31,13.11,13.11,0.0421,2,1,1,3,1,0,0,55,0.453,0,0.119,0
PH101291,71,60+,Male,Divorced,Informal Trader,Manicaland,152.46,1,Premium,Monthly,Branch,47,20.34,20.34,0.1334,8,0,3,3,0,0,0,52,0.872,0,0.038,0
PH101292,41,36-45,Female,Married,Informal Trader,Matabeleland South,346.24,4,Premium,Monthly,Website,27,20.4,20.4,0.0589,23,3,6,2,0,0,0,72,0.514,0,0.158,0
PH101293,51,46-60,Female,Married,Farmer,Mashonaland West,76.84,5,Premium,Quarterly,Agent,11,20.21,56.59,0.263,5,2,0,0,0,0,0,48,0.66,0,0.041,0
PH101294,42,36-45,Female,Married,Informal Trader,Midlands,258.58,0,Premium,Quarterly,Mobile App,50,18.42,51.58,0.0712,7,0,3,2,0,0,0,78,0.725,1,0.024,0
PH101295,40,36-45,Female,Single,Self Employed,Mashonaland West,45.0,1,Basic,Monthly,Mobile App,27,5.39,5.39,0.1198,3,0,4,3,0,0,0,26,0.865,0,0.108,0
PH101296,52,46-60,Male,Single,Self Employed,Masvingo,218.69,2,Standard,Quarterly,Agent,56,13.45,37.66,0.0615,7,0,6,2,0,0,0,2,0.811,0,0.073,0
PH101297,38,36-45,Female,Married,Informal Trader,Matabeleland North,45.0,2,Basic,Annual,Branch,30,5.0,50.0,0.1111,13,2,1,2,0,0,0,26,0.559,0,0.118,0
PH101298,44,36-45,Female,Married,Self Employed,Matabeleland North,475.9,0,Family,Monthly,Agent,36,23.46,23.46,0.0493,0,1,2,2,1,0,0,52,0.558,0,0.098,0
PH101299,45,36-45,Male,Single,Self Employed,Bulawayo,437.98,0,Basic,Monthly,Website,34,7.63,7.63,0.0174,16,0,2,1,0,0,0,77,0.346,0,0.037,0
PH101300,33,26-35,Male,Married,Formally Employed,Matabeleland South,890.8,5,Standard,Monthly,Agent,76,12.28,12.28,0.0138,10,1,5,2,0,1,0,35,0.769,0,0.098,0
PH101301,53,46-60,Female,Widowed,Formally Employed,Masvingo,484.97,1,Basic,Monthly,Agent,25,7.07,7.07,0.0146,16,1,1,0,0,1,0,24,0.409,0,0.119,0
PH101302,39,36-45,Male,Married,Self Employed,Midlands,306.94,2,Basic,Monthly,Agent,10,8.06,8.06,0.0263,16,1,5,1,0,0,0,36,0.411,0,0.274,1
PH101303,32,26-35,Male,Married,Unemployed,Manicaland,58.12,2,Standard,Quarterly,Agent,51,12.25,34.3,0.2108,0,0,0,1,0,0,0,73,0.692,0,0.055,0
PH101304,47,46-60,Male,Married,Formally Employed,Mashonaland East,627.45,4,Standard,Monthly,Branch,29,15.42,15.42,0.0246,4,0,3,3,1,0,0,48,0.769,0,0.068,0
PH101305,30,26-35,Male,Married,Informal Trader,Masvingo,567.15,2,Standard,Monthly,Referral,49,11.27,11.27,0.0199,0,0,3,0,0,1,0,51,0.368,0,0.042,0
PH101306,41,36-45,Male,Married,Self Employed,Midlands,551.53,1,Basic,Monthly,Branch,14,6.04,6.04,0.011,2,2,1,0,1,0,0,78,0.64,0,0.084,0
PH101307,41,36-45,Male,Divorced,Formally Employed,Masvingo,488.11,1,Premium,Monthly,Agent,123,16.34,16.34,0.0335,5,4,0,2,1,0,0,46,0.12,0,0.046,0
PH101308,54,46-60,Male,Married,Farmer,Mashonaland West,226.98,2,Basic,Quarterly,Agent,38,10.1,28.28,0.0445,27,2,6,3,2,0,1,78,0.44,1,0.144,0
PH101309,47,46-60,Female,Married,Unemployed,Bulawayo,45.0,4,Standard,Monthly,Agent,54,15.08,15.08,0.3351,16,2,0,2,0,0,1,53,0.205,0,0.278,1
PH101310,41,36-45,Female,Single,Formally Employed,Midlands,608.36,1,Standard,Monthly,Branch,17,11.84,11.84,0.0195,0,1,0,1,0,0,0,36,0.795,0,0.044,0
PH101311,51,46-60,Male,Single,Informal Trader,Mashonaland West,163.82,2,Standard,Monthly,Branch,42,11.62,11.62,0.0709,0,1,3,1,1,0,0,72,0.322,0,0.108,0
PH101312,58,46-60,Male,Married,Self Employed,Matabeleland South,175.73,1,Basic,Monthly,Mobile App,68,7.08,7.08,0.0403,34,1,7,1,1,0,1,69,0.417,0,0.232,0
PH101313,48,46-60,Female,Divorced,Farmer,Mashonaland East,201.28,3,Premium,Monthly,Agent,19,20.88,20.88,0.1037,11,1,3,3,1,0,0,64,0.81,0,0.131,0
PH101314,41,36-45,Male,Married,Self Employed,Bulawayo,247.57,1,Basic,Quarterly,Mobile App,81,7.29,20.41,0.0294,0,0,0,2,0,1,0,100,0.485,0,0.007,0
PH101315,25,18-25,Male,Single,Formally Employed,Midlands,283.71,2,Basic,Monthly,Branch,19,5.0,5.0,0.0176,0,2,0,3,0,0,0,75,0.462,1,0.042,0
PH101316,28,26-35,Male,Married,Informal Trader,Midlands,191.33,2,Standard,Monthly,Agent,16,12.75,12.75,0.0666,0,1,2,1,0,1,1,27,0.569,0,0.145,0
PH101317,37,36-45,Female,Married,Unemployed,Harare,45.0,1,Basic,Monthly,Referral,9,9.24,9.24,0.2053,7,2,5,2,0,1,0,61,0.499,1,0.273,0
PH101318,34,26-35,Female,Married,Formally Employed,Mashonaland West,403.11,2,Basic,Biannual,Agent,134,6.58,35.53,0.0163,10,2,5,1,1,1,0,72,0.424,1,0.022,0
PH101319,39,36-45,Female,Single,Informal Trader,Manicaland,278.92,3,Premium,Monthly,Branch,24,17.9,17.9,0.0642,22,4,4,1,0,0,0,62,0.605,0,0.203,0
PH101320,42,36-45,Female,Married,Formally Employed,Matabeleland South,271.87,0,Family,Biannual,Referral,78,26.13,141.1,0.0961,0,2,1,1,1,0,0,37,0.73,0,0.03,1
PH101321,47,46-60,Female,Single,Farmer,Matabeleland South,354.72,2,Standard,Monthly,Agent,41,14.29,14.29,0.0403,2,1,0,1,0,0,0,35,0.411,0,0.021,0
PH101322,40,36-45,Female,Married,Formally Employed,Midlands,347.0,1,Basic,Monthly,Agent,20,7.07,7.07,0.0204,12,0,2,3,0,0,1,26,0.508,1,0.053,0
PH101323,47,46-60,Female,Married,Farmer,Matabeleland South,112.21,4,Basic,Monthly,Branch,56,6.69,6.69,0.0596,16,2,2,3,0,0,0,63,0.301,0,0.063,1
PH101324,42,36-45,Male,Single,Self Employed,Bulawayo,518.88,1,Standard,Quarterly,Agent,61,12.28,34.38,0.0237,21,3,6,0,1,0,0,42,0.77,0,0.15,1
PH101325,18,18-25,Female,Married,Self Employed,Matabeleland North,390.97,1,Standard,Monthly,Branch,18,11.22,11.22,0.0287,0,1,2,1,1,0,0,36,0.123,0,0.119,0
PH101326,30,26-35,Female,Married,Farmer,Harare,354.19,2,Basic,Monthly,Website,23,7.5,7.5,0.0212,10,1,2,2,0,0,1,43,0.1,0,0.155,0
PH101327,39,36-45,Female,Married,Farmer,Manicaland,380.74,1,Premium,Monthly,Branch,16,20.37,20.37,0.0535,13,1,3,0,0,1,0,32,0.395,1,0.098,1
PH101328,26,26-35,Male,Married,Informal Trader,Matabeleland North,84.23,2,Basic,Biannual,Branch,157,7.83,42.28,0.093,17,2,3,1,2,0,0,63,0.645,0,0.036,0
PH101329,48,46-60,Male,Married,Formally Employed,Matabeleland North,850.74,3,Basic,Monthly,Mobile App,68,8.93,8.93,0.0105,7,1,3,0,1,0,0,54,0.173,0,0.107,0
PH101330,59,46-60,Female,Widowed,Self Employed,Matabeleland North,45.0,1,Basic,Quarterly,Website,22,7.76,21.73,0.1724,13,3,6,1,1,1,0,69,0.367,0,0.157,1
PH101331,56,46-60,Female,Married,Informal Trader,Midlands,97.81,1,Premium,Annual,Mobile App,22,19.91,199.1,0.2036,24,2,3,0,2,0,0,41,0.379,0,0.393,0
PH101332,38,36-45,Female,Married,Informal Trader,Bulawayo,89.59,3,Basic,Monthly,Referral,27,7.31,7.31,0.0816,6,2,0,2,1,0,0,58,0.57,0,0.13,0
PH101333,59,46-60,Male,Single,Informal Trader,Manicaland,411.83,3,Basic,Annual,Branch,32,6.52,65.2,0.0158,10,2,1,0,0,0,0,59,0.806,1,0.032,0
PH101334,43,36-45,Female,Single,Formally Employed,Matabeleland South,543.43,4,Basic,Monthly,Agent,68,7.01,7.01,0.0129,7,1,2,0,1,1,0,65,0.221,0,0.068,0
PH101335,37,36-45,Female,Single,Informal Trader,Bulawayo,283.16,4,Family,Biannual,Agent,18,25.12,135.65,0.0887,4,3,1,3,0,0,0,57,0.48,1,0.027,0
PH101336,34,26-35,Female,Married,Informal Trader,Midlands,45.0,1,Standard,Annual,Website,18,11.93,119.3,0.2651,0,0,0,2,0,1,0,28,0.512,0,0.23,0
PH101337,37,36-45,Female,Single,Formally Employed,Harare,445.91,4,Basic,Annual,Agent,69,5.16,51.6,0.0116,4,0,7,2,0,0,0,67,0.476,0,0.045,0
PH101338,36,36-45,Female,Married,Informal Trader,Manicaland,542.58,1,Premium,Monthly,Mobile App,49,16.9,16.9,0.0311,16,1,5,0,1,0,1,71,0.485,0,0.136,0
PH101339,43,36-45,Female,Married,Informal Trader,Harare,311.87,2,Basic,Biannual,Branch,43,6.02,32.51,0.0193,15,1,2,2,0,0,0,57,0.208,0,0.118,0
PH101340,43,36-45,Female,Married,Informal Trader,Masvingo,210.62,2,Standard,Monthly,Referral,28,11.16,11.16,0.053,7,2,2,1,0,0,0,48,0.324,0,0.12,0
PH101341,41,36-45,Female,Married,Formally Employed,Mashonaland East,644.63,2,Standard,Monthly,Mobile App,42,12.08,12.08,0.0187,8,1,4,0,0,1,0,86,0.606,0,0.028,0
PH101342,46,46-60,Male,Married,Informal Trader,Harare,267.48,2,Standard,Monthly,Mobile App,23,12.74,12.74,0.0476,0,0,3,7,1,1,0,67,0.684,0,0.073,0
PH101343,55,46-60,Male,Single,Formally Employed,Mashonaland West,360.02,3,Basic,Monthly,Referral,32,8.87,8.87,0.0246,20,4,4,2,1,0,0,66,0.42,0,0.07,0
PH101344,52,46-60,Female,Married,Self Employed,Mashonaland East,264.52,2,Family,Quarterly,Referral,27,28.51,79.83,0.1078,0,0,0,1,1,0,0,59,0.746,1,0.027,0
PH101345,23,18-25,Female,Married,Unemployed,Bulawayo,152.54,0,Standard,Monthly,Agent,13,12.15,12.15,0.0797,0,1,3,3,0,1,0,44,0.857,1,0.075,0
PH101346,18,18-25,Female,Married,Informal Trader,Midlands,216.25,2,Family,Annual,Referral,22,23.37,233.7,0.1081,8,1,4,1,0,0,0,72,0.802,0,0.033,0
PH101347,52,46-60,Female,Single,Formally Employed,Matabeleland North,480.07,3,Premium,Quarterly,Agent,64,17.1,47.88,0.0356,14,4,3,1,0,1,0,46,0.298,1,0.067,0
PH101348,25,18-25,Male,Married,Informal Trader,Mashonaland East,45.0,4,Family,Biannual,Mobile App,41,25.07,135.38,0.5571,24,3,3,2,0,1,1,70,0.881,0,0.362,0
PH101349,38,36-45,Female,Divorced,Farmer,Matabeleland South,209.05,2,Standard,Biannual,Agent,8,10.52,56.81,0.0503,19,3,4,0,0,1,0,26,0.441,1,0.155,0
PH101350,27,26-35,Female,Married,Formally Employed,Manicaland,259.17,2,Basic,Quarterly,Branch,35,5.76,16.13,0.0222,16,1,3,2,2,0,0,73,0.635,0,0.127,0
PH101351,19,18-25,Male,Single,Unemployed,Masvingo,182.23,3,Premium,Monthly,Website,43,17.66,17.66,0.0969,13,4,0,2,1,2,0,59,0.331,0,0.245,0
PH101352,47,46-60,Male,Married,Informal Trader,Midlands,122.91,4,Premium,Monthly,Branch,66,23.74,23.74,0.1931,0,2,0,1,0,1,1,63,0.759,0,0.051,0
PH101353,50,46-60,Female,Married,Unemployed,Midlands,74.09,2,Family,Monthly,Branch,19,28.98,28.98,0.3911,13,0,2,3,1,0,0,89,0.519,1,0.213,0
PH101354,34,26-35,Male,Married,Formally Employed,Masvingo,206.58,1,Basic,Monthly,Agent,22,9.12,9.12,0.0441,20,2,3,3,0,1,0,53,0.217,0,0.188,1
PH101355,18,18-25,Female,Married,Formally Employed,Matabeleland South,599.21,0,Standard,Monthly,Referral,37,11.46,11.46,0.0191,0,3,0,0,0,1,0,57,0.465,1,0.031,0
PH101356,34,26-35,Male,Married,Farmer,Harare,271.7,2,Family,Quarterly,Agent,59,24.65,69.02,0.0907,10,3,0,3,0,0,0,49,0.528,0,0.09,0
PH101357,46,46-60,Female,Widowed,Self Employed,Matabeleland South,193.59,2,Family,Monthly,Agent,11,26.98,26.98,0.1394,0,0,2,3,0,0,0,81,0.169,0,0.039,0
PH101358,23,18-25,Female,Married,Formally Employed,Matabeleland South,283.33,4,Basic,Monthly,Branch,31,7.07,7.07,0.025,16,1,5,4,1,0,0,35,0.657,0,0.065,1
PH101359,43,36-45,Female,Married,Informal Trader,Mashonaland East,345.13,4,Premium,Monthly,Agent,20,19.71,19.71,0.0571,0,1,0,1,4,0,0,50,0.611,0,0.219,0
PH101360,41,36-45,Male,Single,Formally Employed,Mashonaland West,817.73,2,Standard,Monthly,Branch,58,9.49,9.49,0.0116,34,3,6,0,1,2,0,72,0.599,0,0.124,1
PH101361,48,46-60,Female,Widowed,Unemployed,Manicaland,146.87,3,Basic,Monthly,Agent,15,8.33,8.33,0.0567,18,0,3,3,0,0,0,86,0.395,0,0.225,0
PH101362,42,36-45,Male,Divorced,Informal Trader,Midlands,387.79,3,Family,Monthly,Agent,10,22.2,22.2,0.0572,10,1,5,4,0,0,1,68,0.258,1,0.139,1
PH101363,29,26-35,Male,Single,Farmer,Bulawayo,193.6,2,Standard,Annual,Referral,12,8.17,81.7,0.0422,8,0,3,4,0,0,1,45,0.398,0,0.064,0
PH101364,55,46-60,Female,Married,Unemployed,Matabeleland North,56.26,0,Premium,Monthly,Referral,65,20.34,20.34,0.3615,17,3,3,0,0,1,0,50,0.467,0,0.27,0
PH101365,39,36-45,Female,Single,Formally Employed,Matabeleland South,419.86,2,Family,Monthly,Referral,29,25.14,25.14,0.0599,16,1,8,1,0,0,0,52,0.693,0,0.074,0
PH101366,41,36-45,Female,Married,Self Employed,Masvingo,564.6,3,Basic,Monthly,Mobile App,19,7.45,7.45,0.0132,11,0,2,3,1,0,0,66,0.306,0,0.094,0
PH101367,30,26-35,Male,Married,Unemployed,Matabeleland South,86.03,2,Family,Annual,Agent,26,24.79,247.9,0.2882,0,2,2,5,1,0,0,34,0.821,0,0.16,1
PH101368,36,36-45,Male,Single,Self Employed,Masvingo,321.11,4,Premium,Monthly,Branch,35,15.47,15.47,0.0482,17,0,5,0,1,2,0,48,0.687,0,0.08,0
PH101369,30,26-35,Male,Widowed,Farmer,Manicaland,442.48,0,Family,Monthly,Mobile App,15,22.06,22.06,0.0499,2,2,1,1,0,0,0,50,0.491,0,0.045,0
PH101370,39,36-45,Female,Single,Informal Trader,Manicaland,461.66,1,Standard,Monthly,Agent,78,10.66,10.66,0.0231,0,0,0,2,0,0,0,86,0.73,0,0.034,0
PH101371,62,60+,Female,Married,Formally Employed,Bulawayo,475.79,0,Basic,Monthly,Agent,50,10.58,10.58,0.0222,7,0,3,1,0,1,1,76,0.566,1,0.019,0
PH101372,25,18-25,Female,Married,Farmer,Mashonaland West,337.94,0,Premium,Monthly,Agent,18,18.93,18.93,0.056,4,0,3,2,2,0,0,42,0.237,1,0.076,0
PH101373,22,18-25,Female,Married,Formally Employed,Mashonaland East,236.01,0,Standard,Quarterly,Branch,13,14.16,39.65,0.06,11,2,2,1,1,0,0,66,0.523,0,0.067,0
PH101374,59,46-60,Male,Single,Formally Employed,Masvingo,569.69,3,Standard,Quarterly,Agent,40,12.97,36.32,0.0228,5,3,3,2,0,0,0,73,0.951,0,0.053,0
PH101375,38,36-45,Male,Single,Informal Trader,Mashonaland West,262.82,1,Standard,Monthly,Agent,43,12.61,12.61,0.048,2,0,3,1,1,1,0,14,0.549,0,0.119,0
PH101376,33,26-35,Male,Married,Farmer,Masvingo,262.15,1,Standard,Monthly,Referral,30,11.14,11.14,0.0425,14,0,2,1,1,1,0,40,0.333,0,0.083,0
PH101377,53,46-60,Male,Married,Informal Trader,Mashonaland East,88.66,1,Standard,Monthly,Agent,39,11.11,11.11,0.1253,14,3,5,1,1,0,1,100,0.695,0,0.16,1
PH101378,34,26-35,Male,Single,Formally Employed,Manicaland,171.0,1,Premium,Quarterly,Branch,30,19.29,54.01,0.1128,0,3,0,2,0,1,0,72,0.287,0,0.062,0
PH101379,63,60+,Female,Single,Self Employed,Harare,284.73,1,Premium,Biannual,Branch,13,23.59,127.39,0.0829,5,1,4,1,1,0,0,93,0.368,0,0.053,0
PH101380,49,46-60,Male,Single,Self Employed,Mashonaland West,147.62,3,Premium,Annual,Referral,31,21.56,215.6,0.1461,10,1,6,2,1,1,0,65,0.468,0,0.046,0
PH101381,35,26-35,Female,Married,Self Employed,Masvingo,218.6,3,Premium,Monthly,Mobile App,12,17.87,17.87,0.0817,0,1,2,3,1,0,1,59,0.553,0,0.069,0
PH101382,67,60+,Male,Married,Formally Employed,Mashonaland West,915.48,2,Basic,Quarterly,Agent,29,10.3,28.84,0.0113,13,1,2,1,1,0,0,43,0.44,0,0.088,0
PH101383,34,26-35,Female,Single,Informal Trader,Mashonaland West,397.79,6,Family,Annual,Agent,58,23.33,233.3,0.0586,8,2,5,4,0,0,1,100,0.315,0,0.069,0
PH101384,50,46-60,Female,Married,Farmer,Masvingo,254.64,3,Standard,Quarterly,Branch,40,14.41,40.35,0.0566,6,1,2,0,4,0,0,68,0.578,0,0.067,0
PH101385,45,36-45,Female,Single,Self Employed,Mashonaland East,456.53,2,Standard,Monthly,Agent,18,9.86,9.86,0.0216,1,0,2,4,2,0,0,69,0.606,0,0.143,0
PH101386,57,46-60,Male,Divorced,Formally Employed,Mashonaland East,525.06,3,Standard,Quarterly,Agent,42,13.19,36.93,0.0251,4,0,4,3,1,1,0,93,0.328,1,0.063,0
PH101387,60,46-60,Female,Divorced,Unemployed,Matabeleland North,108.54,5,Standard,Quarterly,Agent,22,13.9,38.92,0.1281,20,1,8,1,2,0,0,45,0.402,1,0.425,0
PH101388,41,36-45,Female,Married,Informal Trader,Matabeleland North,288.83,2,Basic,Monthly,Agent,28,7.85,7.85,0.0272,23,2,5,5,0,0,1,51,0.602,0,0.236,0
